raceId,driverId,constructorId,circuitId,lap,milliseconds,grid
1,1,8,7,1,83648,7
1,1,8,7,2,83911,7
1,1,8,7,3,83924,7
1,1,8,7,4,84266,7
1,1,8,7,5,84344,7
1,1,8,7,6,84337,7
1,1,8,7,7,84998,7
1,1,8,7,8,85079,7
1,1,8,7,9,83303,7
1,1,8,7,10,84742,7
1,1,8,7,11,84397,7
1,1,8,7,12,84482,7
1,1,8,7,13,83927,7
1,1,8,7,14,85330,7
1,1,8,7,15,84684,7
1,1,8,7,16,84904,7
1,1,8,7,17,84978,7
1,1,8,7,18,85214,7
1,1,8,7,19,84744,7
1,1,8,7,20,84910,7
1,1,8,7,21,85013,7
1,1,8,7,22,85320,7
1,1,8,7,23,84997,7
1,1,8,7,24,85092,7
1,1,8,7,25,84810,7
1,1,8,7,26,84842,7
1,1,8,7,27,85679,7
1,1,8,7,28,86015,7
1,1,8,7,29,85168,7
1,1,8,7,30,82805,7
1,1,8,7,31,82133,7
1,1,8,7,32,82538,7
1,1,8,7,33,82566,7
1,1,8,7,34,83515,7
1,1,8,7,35,83010,7
1,1,8,7,36,82270,7
1,1,8,7,37,81956,7
1,1,8,7,38,82522,7
1,1,8,7,39,83125,7
1,1,8,7,40,83240,7
1,1,8,7,41,83479,7
1,1,8,7,42,82342,7
1,1,8,7,43,83488,7
1,1,8,7,44,83286,7
1,1,8,7,45,83537,7
1,1,8,7,46,83668,7
1,1,8,7,47,84485,7
1,1,8,7,48,83949,7
1,1,8,7,49,83548,7
1,1,8,7,50,83742,7
1,1,8,7,51,83159,7
1,1,8,7,52,83161,7
1,1,8,7,53,82828,7
1,1,8,7,54,83107,7
1,1,8,7,55,84070,7
1,1,8,7,56,83409,7
1,1,8,7,57,84088,7
1,1,8,7,58,84513,7
1,1,8,7,59,84059,7
1,1,8,7,60,81533,7
1,2,8,7,1,93592,7
1,2,8,7,2,92408,7
1,2,8,7,3,93441,7
1,2,8,7,4,93857,7
1,2,8,7,5,93302,7
1,2,8,7,6,92332,7
1,2,8,7,7,93335,7
1,2,8,7,8,93188,7
1,2,8,7,9,93497,7
1,2,8,7,10,93671,7
1,2,8,7,11,92999,7
1,2,8,7,12,93016,7
1,2,8,7,13,93393,7
1,2,8,7,14,93053,7
1,2,8,7,15,93631,7
1,2,8,7,16,93553,7
1,2,8,7,17,94905,7
1,2,8,7,18,93215,7
1,2,8,7,19,93378,7
1,2,8,7,20,93998,7
1,2,8,7,21,94259,7
1,2,8,7,22,94978,7
1,2,8,7,23,94710,7
1,2,8,7,24,94378,7
1,2,8,7,25,94173,7
1,2,8,7,26,94508,7
1,2,8,7,27,93839,7
1,2,8,7,28,94027,7
1,2,8,7,29,93520,7
1,2,8,7,30,91313,7
1,2,8,7,31,91927,7
1,2,8,7,32,91418,7
1,2,8,7,33,91197,7
1,2,8,7,34,91441,7
1,2,8,7,35,92004,7
1,2,8,7,36,91586,7
1,2,8,7,37,92158,7
1,2,8,7,38,91179,7
1,2,8,7,39,91436,7
1,2,8,7,40,91656,7
1,2,8,7,41,91322,7
1,2,8,7,42,93390,7
1,2,8,7,43,91519,7
1,2,8,7,44,92522,7
1,2,8,7,45,91818,7
1,2,8,7,46,91938,7
1,2,8,7,47,92373,7
1,2,8,7,48,91584,7
1,2,8,7,49,92010,7
1,2,8,7,50,92302,7
1,2,8,7,51,92018,7
1,2,8,7,52,92076,7
1,2,8,7,53,93031,7
1,2,8,7,54,93039,7
1,2,8,7,55,92400,7
1,2,8,7,56,92617,7
1,2,8,7,57,93292,7
1,2,8,7,58,92074,7
1,2,8,7,59,92960,7
1,2,8,7,60,90935,7
1,3,8,7,1,94553,6
1,3,8,7,2,93704,6
1,3,8,7,3,94984,6
1,3,8,7,4,93548,6
1,3,8,7,5,94657,6
1,3,8,7,6,95561,6
1,3,8,7,7,93926,6
1,3,8,7,8,94204,6
1,3,8,7,9,94611,6
1,3,8,7,10,94344,6
1,3,8,7,11,93841,6
1,3,8,7,12,94754,6
1,3,8,7,13,94206,6
1,3,8,7,14,95075,6
1,3,8,7,15,94388,6
1,3,8,7,16,95752,6
1,3,8,7,17,94567,6
1,3,8,7,18,94865,6
1,3,8,7,19,95520,6
1,3,8,7,20,94488,6
1,3,8,7,21,95316,6
1,3,8,7,22,95942,6
1,3,8,7,23,94448,6
1,3,8,7,24,95452,6
1,3,8,7,25,95545,6
1,3,8,7,26,95875,6
1,3,8,7,27,94857,6
1,3,8,7,28,94865,6
1,3,8,7,29,95896,6
1,3,8,7,30,92646,6
1,3,8,7,31,92674,6
1,3,8,7,32,92778,6
1,3,8,7,33,92286,6
1,3,8,7,34,92824,6
1,3,8,7,35,92909,6
1,3,8,7,36,92427,6
1,3,8,7,37,93850,6
1,3,8,7,38,93164,6
1,3,8,7,39,92333,6
1,3,8,7,40,93367,6
1,3,8,7,41,92554,6
1,3,8,7,42,93543,6
1,3,8,7,43,93793,6
1,3,8,7,44,92795,6
1,3,8,7,45,93795,6
1,3,8,7,46,93556,6
1,3,8,7,47,93827,6
1,3,8,7,48,94450,6
1,3,8,7,49,93366,6
1,3,8,7,50,93149,6
1,3,8,7,51,93130,6
1,3,8,7,52,93223,6
1,3,8,7,53,93668,6
